Timestamp In / Out,Primary State,Dominant Athlete,Substate,Exit Action,Subaction,Action Instigator,Points,Adv/Pen, Next State,Match ID,Name A,Group A,Name B,Group B,Belt,Age,Weight Class,Win
2:37/1:56,SC,A,,Scr,,B,,,HG,5,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Benjamin Kuci,,Grey,11,Light,A
1:56/0:00,HG,B,,Time,,N,,,End,5,Brett Raymond Witt,Black Tie Brazilian Jiu-Jitsu,Benjamin Kuci,,Grey,11,Light,A
4:00/3:49,St,N,,BTake,,A,4,1/,BM,6,Max Rolik,,Benjamin Kuci,,Grey,11,Light,A
3:49/3:33,BM,A,,Scr,,B,,,CG,6,Max Rolik,,Benjamin Kuci,,Grey,11,Light,A
3:33/3:11,CG,B,Spider,Sub,Armbar,A,,,End,6,Max Rolik,,Benjamin Kuci,,Grey,11,Light,A
4:00/3:49,St,N,,DGP,,N,,,50-50,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
3:49/3:22,50-50,N,,Reset,,N,,-2/-1,St,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
3:22/3:13,St,N,,DGP,,N,,,50-50,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
3:13/2:46,50-50,N,,Reset,,B,2,-1/-1,St,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
2:46/2:31,St,N,,Takedown,SL,A,2,,CG,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
2:31/0:00,CG,A,,Time,,N,,,End,7,Davis Jackson Newton,,Nelson James Cox,,Grey,11,Light,B
